University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
Emory University,Sociolgoy,"$33,500",1.44,2019-2020,1st,Awarded Laney scholarship.
Northwestern University (NU),Sociology,"$38,500",1.59,2019-2020,1st,Fellowships.
University of North Carolina - Chapel Hill (UNC),political science,"$15,000",0.67,2018-2019,1st,
Northwestern University (NU),Chemistry,"$33,000",1.36,2018-2019,,
CUNY Graduate School and University Center,Chemistry,"$30,000",1.01,2019-2020,1st,
University of California - Davis (UCD),BMCDB,"$31,609",1.32,2018-2019,1st,
University of Tennessee - Knoxville,Computer Science,"$33,800",1.59,2018-2019,1st,Graduate Research Assistantship + Fellowship Guaranteed for 6 years
University of Texas - Dallas (UTD),Psychological Sciences,"$24,000",1.11,2019-2020,1st,"$2000/month on PI's grant. Technically a 9 month stipend, but since PI has a research grant the $2000/month continues over the summer."
University of Virginia (UVA),Psychology,"$24,000",1.05,2019-2020,1st,
University of Mississippi (Ole Miss),Electrical Engineering,"$9,690",0.45,2018-2019,2nd,
Carnegie Mellon University (CMU),Computer Science,"$31,945",1.54,2018-2019,1st,
Texas Tech University (TTU),Chemistry and Biochemistry,"$19,800",0.98,2019-2020,1st,
Rockefeller University,Chemical Biology,"$38,900",1.31,2018-2019,2nd,
Vanderbilt University,Psychological Sciences,"$31,000",1.35,2018-2019,1st,
University of Tennessee - Knoxville,"Kinesiology, Recreation, and Sport Studies","$22,500",1.06,2018-2019,2nd,"Health insurance included in package; also includes tuition remission for summer coursework; gross pay includes $10,000 for a Tennessee Fellowship for Graduate Excellence which is paid out as $5000 lump sum per fall/spring semesters; fees are about $1000 per semester."
University of Minnesota - Twin Cities (UM),Interdepartmental Graduate Program in Neuroscience,"$30,000",1.31,2018-2019,1st,
University of Florida (UF),pharmaceutical sciences,"$32,000",1.41,2019-2020,1st,
New York University (NYU),Political Science,"$29,850",1.00,2019-2020,1st,"28850 base, 1000 annual housing subsidy for five years, one time 4000 summer stipend (future summer stipends not guaranteed but common)"
Ohio State University (OSU),Sociology/PhD,"$17,280",0.86,2019-2020,1st,"6 years of consecutive funding, nominated for a fellowship as well."
University of California - Berkeley,Plant and Microbial Biology,"$37,000",1.33,2019-2020,1st,
Baylor University (BU),Biology,"$23,371",1.18,2018-2019,3rd,"Student fees are high at Baylor ($181/ hour up to 12 hours, which is the max we're allowed to take in a semester, plus $50 for lab/research credit). Having passed qualifying exams (completed in the late second and early third years), we are given an additional $1000 to our base stipend."
Texas A&amp;M; University - College Station,Materials Science & Engineering,"$22,000",,2018-2019,1st,
Texas A&amp;M; University - College Station,Materials Science & Engineering,"$22,000",,2018-2019,1st,
Cornell University (CU),Management,"$37,600",1.55,2018-2019,1st,Tuition waiver + free insurance as well
Washington University in St. Louis (Wash U),DBBS plus Olin Fellowship,"$33,000",1.60,2018-2019,1st,
Medical College of Wisconsin,Biomedical engineering,"$31,000",1.44,2019-2020,1st,
University of California - Berkeley,Plant and Microbial Biosciences,"$37,080",1.34,2019-2020,1st,
Indiana University,Political Science,"$15,345",0.71,2018-2019,3rd,Disgraceful
Rice University,Computer science,"$22,000",1.01,2018-2019,1st,
University of Wisconsin - Madison (UW),History,"$26,140",1.14,2019-2020,1st,
University of Washington (UW),Sociology,"$19,869",0.85,2019-2020,1st,TA/RA ship from the 1st year.
University of Michigan - Ann Arbor (UM),School of Education,"$30,000",1.30,2018-2019,2nd,
Georgia State University (GSU),Psychology,"$14,700",0.63,2019-2020,1st,
Northwestern University (NU),Sociology,"$32,844",1.35,2019-2020,1st,Five years. 1 year fellowship. Rest are TA-ship
University of California - Irvine (UCI),cell and molecular biosciences,"$32,000",1.09,2018-2019,1st,
Université de Montréal,Computer Science,"$25,000",,2019-2020,1st,
Cornell University (CU),Sociology,"$32,911",1.36,2019-2020,1st,This includes the summer stipend. My letter says that the pay increases slightly every year.
University of Southern California (USC),Sociology,"$30,500",1.18,2019-2020,1st,"$30,500 annually for 5 years. Pays for ""most fees."" I don't know exactly how much the fees are."
University of Michigan - Ann Arbor (UM),Sociology Ph.D.,"$27,000",1.17,2019-2020,1st,"Roughly $27,000 plus a $1,200 relocation stipend for first-year students. Health insurance is also covered. Ph.D. students must begin teaching after the first year."
University of North Carolina - Chapel Hill (UNC),Sociology,"$20,000",0.90,2018-2019,1st,5 year TAship
Duke University (DU),Sociology,"$29,500",1.33,2018-2019,1st,
University of Michigan - Ann Arbor (UM),Sociology,"$25,084",1.09,2019-2020,1st,"""Rackham Merit Fellowship"" 21,084/academic year +4,000 each summer after the first summer [so the 1st summer is 10,000 then 4 more summers of 4k each]. This is for 5 years. TA-ships for years 2,3,5; Fellowships years 1 and 4. Also includes: One time Technology Grant (research account) $1,500 One time Pre-Candidate Research Grant (research account) $1,500 and Relocation of 1,000."
Harvard University (HU),Sociology,"$35,676",1.25,2019-2020,1st,"""Graduate Prize Fellowship"" 29730 for academic year + 5946 for summer for years 1,2,3,4,6 Only years 3 and 4 are TAship. Others are fellowship. No stipend for year 5, but tuition is covered. +2500 professional development grant."
Cornell,Sociology,"$32,953",,2019-2020,1st,"27,218 for academic year [5 years support, although notes that ""typically"" the program is able to provide funding beyond the 5th year if needed] + 5,735 for 4 summers 2 years SAGE fellowship and 3 years TA-ship."
UCLA,Anthropology,"$22,000",,2019-2020,,
University of California - Irvine (UCI),Sociology,"$23,273",0.80,2019-2020,1st,"Academic year= 21,273 +Summer= 2,000 For 6 years. Every single quarter is a TA-ship. No fellowship years."
Iowa State University (ISU),Nutritional Biochemistry,"$25,500",1.20,2018-2019,3rd,
University of Hawaii - Manoa (UH),Nutritional Sciences,"$21,288",0.70,2018-2019,2nd,
University of Hawaii - Manoa (UH),Nutritional Sciences,"$1,512",0.05,2018-2019,2nd,
Massachusetts Institute of Technology (MIT),Linguistics,"$35,000",1.25,2019-2020,1st,
Pennsylvania State University (Penn State),Sociology,"$25,650",1.14,2019-2020,1st,Guaranteed for five years and 20hr/week GA
Harvard University (HU),Linguistics,"$33,730",1.18,2019-2020,1st,
University of Southern California (USC),electrical engineering,"$34,000",1.31,2018-2019,,
University of Illinois - Chicago (UIC),Bioengineering,"$30,000",1.24,2018-2019,1st,
University of Kansas (KU),Molecular Biosciences,"$25,000",1.22,2019-2020,1st,
University of Kansas (KU),Molecular Biosciences,"$25,000",1.22,2019-2020,1st,
University of Rochester (UR),"Genetics, Development and Stem Cells","$29,567",1.38,2019-2020,1st,
University of Idaho (UI),Biological Engineering,"$14,500",0.70,2018-2019,2nd,
Cornell University (CU),Chemical Engineering,"$36,291",1.50,2019-2020,1st,
Yale University (YU),Applied Physics,"$37,750",1.53,2019-2020,1st,
Yale University (YU),Applied Physics,"$-5,280",-0.21,2019-2020,1st,
University of Pittsburgh,French,"$18,910",0.91,2019-2020,1st,TA salary
University of Michigan - Ann Arbor (UM),French,"$27,500",1.19,2019-2020,1st,
Cornell University (CU),French,"$31,994",1.32,2019-2020,1st,
University of Kansas (KU),Special Education,"$26,500",1.30,2018-2019,1st,
University of California - San Francisco (UCSF),Chemistry,"$38,000",1.27,2018-2019,1st,
University of California - Berkeley,School of Information,"$26,000",0.94,2018-2019,1st,
University of Alabama - Huntsville (UAH),Biology,"$11,850",0.56,2018-2019,5th,
University of Illinois - Chicago (UIC),Chemistry,"$26,000",1.07,2018-2019,2nd,Fellowship
University of Illinois - Chicago (UIC),Chemistry,"$26,000",1.07,2018-2019,2nd,Fellowship
University of Kansas,Linguistics,"$17,000",,2018-2019,1st,
University of Central Florida (UCF),Mathematics,"$14,300",0.62,2018-2019,,"We have about $750 per semester in academic fees that do not get waived like tuition. This stipend also does not include a summer assistantship, but those come to about $1200 per month over the summer."
University of Southern California (USC),PIBBS,"$34,000",1.31,2019-2020,1st,
University of Wisconsin - Madison (UW),industrial engineering,"$27,000",1.18,2018-2019,1st,
Rutgers the State University of New Jersey - New Brunswick,Linguistics,"$25,000",0.97,2019-2020,1st,
McGill University,Linguistics,"$20,000",,2019-2020,1st,The gross pay is in Canadian Dollars.
University of Southern California (USC),Linguistics,"$30,500",1.18,2019-2020,1st,
Yale University (YU),Linguistics,"$31,800",1.29,2019-2020,1st,
University of Maryland - College Park (UMD),Anthropology,"$18,990",0.63,2018-2019,2nd,
Columbia University (CU),English,"$26,200",0.88,2019-2020,,
,,"$34,000",,2018-2019,,
University of California - Santa Barbara (UCSB),Chemical Engineering,"$33,000",1.26,2018-2019,5th,
Marquette University,Biological Sciences,"$28,506",1.33,2017-2018,2nd,
Washington University in St. Louis (Wash U),Olin Business School PhD program,"$25,000",1.21,2015-2016,1st,"Starting from 2017-2018, new students have stipend of $35000 per year."
Rutgers the State University of New Jersey - Newark,Education,"$15,000",0.55,2018-2019,,
Temple University (TU),Statistics,"$18,606",0.77,2018-2019,4th,
Mississippi State University (MSU),Psychology,"$13,000",0.59,2018-2019,1st,
Duke University (DU),Ecology,"$39,000",1.75,2018-2019,4th,Salary from an NSF GRFP & additional $5000 stipend grant from university.
Massachusetts Institute of Technology (MIT),Media Lab,"$40,728",1.46,2018-2019,1st,
University of Miami (UM),,"$30,000",1.26,2018-2019,,
University of North Carolina - Chapel Hill (UNC),Strategy,"$300,000",13.50,2018-2019,3rd,
Cornell University (CU),Electrical engineering,"$38,000",1.57,2019-2020,,
University of Washington (UW),Political Science,"$21,694",0.93,2018-2019,1st,5yrs funding guaranteed. Summer funding available but not guaranteed. Health care included.
CUNY - John Jay College,Psychology & Law,"$26,000",0.87,2019-2020,1st,
Northwestern University (NU),ESAM,"$32,844",1.35,2019-2020,1st,
,,"$17,000",,2018-2019,,
Stanford University (SU),Immunology,"$43,360",1.51,2018-2019,3rd,
University of Maryland - College Park (UMD),Institute for Systems Research,"$22,500",0.74,2018-2019,1st,
Northern Arizona University (NAU),Earth Science,"$27,000",1.15,2019-2020,1st,I received a fellowship that bumped up my stipend from 20000 to 27000.
University of Tennessee - Knoxville,Industrial Engineering,"$30,800",1.45,2019-2020,1st,
Brown University,Biomedical Engineering,"$31,654",1.39,2018-2019,3rd,
University of California - Riverside (UCR),English,"$27,000",1.12,2018-2019,1st,
University of Pennsylvania,Biology,"$30,500",1.27,2018-2019,2nd,
University of Minnesota - Twin Cities (UM),veterinary medicine,"$25,050",1.09,2018-2019,2nd,
University of Rochester (UR),PhD in Political Science,"$27,000",1.26,2019-2020,1st,
University of Nevada - Las Vegas (UNLV),Psychology,"$12,500",0.55,2019-2020,1st,
Yale University (YU),History PhD,"$32,000",1.29,2019-2020,1st,
Yale University (YU),History PhD,"$32,000",1.29,2019-2020,1st,
University of Missouri (MU),Engineering,"$29,400",1.43,2018-2019,4th,
University of Chicago (UC),,"$42,000",1.73,2018-2019,4th,
University of Oregon (UO),Chemistry,"$25,320",1.21,2018-2019,3rd,
Northwestern University (NU),History,"$32,844",1.35,2019-2020,1st,"This was an offer from NW history department. Healthcare for the student is also included. There are fees, but I do not yet know the exact numbers."
University of Michigan - Ann Arbor (UM),Physics,"$30,000",1.30,2018-2019,1st,
,Physics,"$30,000",,2018-2019,,
,,"$30,000",,2018-2019,,
Rush University,Integrated Biomedical Sciences,"$30,000",1.24,2018-2019,1st,
University of California - Berkeley,School of Information,"$26,000",0.94,2019-2020,1st,
University of Miami (UM),Communication,"$27,225",1.14,2018-2019,1st,Paid in 10 months. Health insurance covered.
Georgia Institute of Technology (Georgia Tech),Computer Science,"$29,700",1.28,2018-2019,1st,
Cornell University (CU),Physics,"$35,733",1.47,2018-2019,1st,
Georgia Institute of Technology (Georgia Tech),Biomedical Engineering,"$31,500",1.35,2019-2020,,
Clemson University (CU),Biological Sciences,"$18,900",0.91,2018-2019,,
University of California - San Diego (UCSD),Bioengineering,"$33,000",1.25,2018-2019,4th,
George Washington University (GW),chemsitry,"$32,000",1.04,2019-2020,1st,
Boston University (BU),Earth and Environment,"$33,100",1.16,2018-2019,3rd,
University of New Mexico (UNM),Linguistics/PhD,"$17,000",0.81,2018-2019,1st,
Baylor University (BU),Mechanical,"$19,500",0.98,2018-2019,2nd,
University of Chicago (UC),Romance Languages and Literatures (Spanish),"$31,500",1.30,2019-2020,1st,
University of California - Riverside (UCR),Psychology,"$28,120",1.17,2019-2020,1st,
Virginia Tech,MEchanical eNgineering,"$1,200",0.06,2018-2019,1st,
Northeastern University (NU),Pharmacology,"$32,500",1.13,2018-2019,1st,
Florida State University (FSU),Geography,"$18,233",0.78,2018-2019,2nd,"This includes summer pay, which is not guaranteed. Without summer subtract ~$3000 from gross pay and $353 from fees. Fees are in-state rate. Health insurance is an additional ~$800."
,,"$18,000",,2018-2019,,
Northwestern University (NU),Art History,"$32,844",1.35,2019-2020,1st,
University of Michigan - Ann Arbor (UM),CSE Ph.D.,"$32,600",1.41,2019-2020,1st,
Rutgers University,Art History,"$22,845",,2018-2019,1st,health insurance and opportunity to apply for summer funding.
Syracuse University,Information Science,"$29,250",1.37,2019-2020,1st,
Syracuse University,Information Science,"$29,250",1.37,2018-2019,1st,
University of California - Irvine (UCI),chemistry,"$32,000",1.09,2019-2020,1st,
University of California - Berkeley,Molecular and Cell Biology,"$36,000",1.30,2018-2019,2nd,"I have NSF GRFP, so I make more during years when I teach for a semester while on fellowship (NSF + teaching = $34,000 + $10,000 = $44,000). Otherwise, stipend is $36,000. The dept. pays the difference if you're on a fellowship that pays less than the baseline stipend, so even though NSF pays $34,000, I still get $36,000. Also we get pretty decent insurance (health, vision, and dental)."
